session_id,protocol_id
S_CORP001_2001,RT04_CORE_DETAIL
S_CORP001_2001,P0607_DONT_RESTART
S_CORP001_2002,RT04_CORE_DETAIL
S_CORP001_2002,P0606_RETRY
S_CORP001_2003,RT04_CORE_DETAIL
S_CORP001_2003,RT05_RESET_NUCLEUS
S_CORP001_2004,P0506_WHAT_IF
S_CORP001_2004,P0607_DONT_RESTART
S_CORP001_2005,RT04_CORE_DETAIL

S_CORP002_1001,RT05_RESET_NUCLEUS
S_CORP002_1001,P0606_RETRY
S_CORP002_1002,P0607_DONT_RESTART
S_CORP002_1002,RT04_CORE_DETAIL
S_CORP002_1003,RT04_CORE_DETAIL
S_CORP002_1003,P0606_RETRY
S_CORP002_1004,P0607_DONT_RESTART
S_CORP002_1005,P0506_WHAT_IF

S_CORP003_0001,RT04_CORE_DETAIL
S_CORP003_0002,RT04_CORE_DETAIL
S_CORP003_0003,P0607_DONT_RESTART
S_CORP003_0004,P0606_RETRY
S_CORP003_0005,RT04_CORE_DETAIL
